<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KRME.XXBTZUSD;D;20211112;000000;64825.1000000;65483.2000000;62300.5000000;64153.0000000;3153
KRME.XXBTZUSD;D;20211113;000000;64151.3000000;64982.5000000;63415.0000000;64393.1000000;1391
KRME.XXBTZUSD;D;20211114;000000;64394.5000000;65495.0000000;63636.0000000;65495.0000000;1480
KRME.XXBTZUSD;D;20211115;000000;65495.0000000;66349.6000000;63423.1000000;63615.8000000;2184
KRME.XXBTZUSD;D;20211116;000000;63615.8000000;63615.8000000;58630.0000000;60137.2000000;5541
KRME.XXBTZUSD;D;20211117;000000;60137.2000000;60847.0000000;58400.0000000;60367.8000000;3122
KRME.XXBTZUSD;D;20211118;000000;60368.6000000;60964.4000000;56526.2000000;56921.7000000;4582
KRME.XXBTZUSD;D;20211119;000000;56910.8000000;58384.5000000;55674.0000000;58099.6000000;2242
KRME.XXBTZUSD;D;20211120;000000;58107.2000000;59879.0000000;57435.2000000;59744.2000000;1746
KRME.XXBTZUSD;D;20211121;000000;59744.2000000;60050.0000000;58532.8000000;58646.2000000;1374
KRME.XXBTZUSD;D;20211122;000000;58660.3000000;59411.8000000;55633.6000000;56295.5000000;3919
KRME.XXBTZUSD;D;20211123;000000;56290.2000000;57850.0000000;55362.7000000;57571.4000000;3805
KRME.XXBTZUSD;D;20211124;000000;57574.0000000;57738.9000000;55909.0000000;57203.3000000;2505
KRME.XXBTZUSD;D;20211125;000000;57170.4000000;59400.0000000;57053.0000000;58932.6000000;2780
KRME.XXBTZUSD;D;20211126;000000;58955.3000000;59193.8000000;53571.0000000;53789.0000000;6087
KRME.XXBTZUSD;D;20211127;000000;53776.5000000;55314.1000000;53658.6000000;54784.9000000;2957
KRME.XXBTZUSD;D;20211128;000000;54757.5000000;57485.7000000;53300.0000000;57300.0000000;2158
KRME.XXBTZUSD;D;20211129;000000;57300.0000000;58890.0000000;56755.1000000;57830.2000000;2979
KRME.XXBTZUSD;D;20211130;000000;57830.2000000;59230.0000000;55932.6000000;56980.7000000;3881
KRME.XXBTZUSD;D;20211201;000000;57007.4000000;59090.7000000;56520.0000000;57237.9000000;4212
KRME.XXBTZUSD;D;20211202;000000;57237.2000000;57410.2000000;55848.2000000;56526.4000000;3227
KRME.XXBTZUSD;D;20211203;000000;56528.2000000;57688.9000000;51752.6000000;53678.6000000;4366
KRME.XXBTZUSD;D;20211204;000000;53675.0000000;53893.4000000;40150.1000000;49255.1000000;8936
KRME.XXBTZUSD;D;20211205;000000;49245.0000000;49750.0000000;47832.2000000;49443.3000000;3743
KRME.XXBTZUSD;D;20211206;000000;49444.0000000;50957.6000000;47210.0000000;50564.3000000;4070
